P30615	Pyruvate kinase 1
Q8KM22	Putative uncharacterized protein
P39086	Glutamate receptor 5
Q74CB4	Cytochrome c7
P39081	Protein PCF11
Q92542	Nicastrin
Q92541	KIAA0252 protein
Q92540	SMG 7 transcript variant 2
P71707	Penicillin binding protein 1A
P71702	POSSIBLE HYDROLASE
Q965D7	fatty acid synthesis protein
K9WT99	Putative ferric reductase
Q0ZNA6	NS3 protease
Q9SZC9	Protein HEAVY METAL ATPASE 6
Q8V0M6	Capsid protein VP
P42212#Q9UAM5	Green fluorescent protein
A2BLH2	Putative uncharacterized protein
Q5SKQ2	UDP glucose 4 epimerase
P06204	Dihydroorotase
P87314	Protein hir1
P06202	OLIGO PEPTIDE binding protein
G7CF24	Putative epoxide hydrolase EPHA
Q8U857	hypothetical protein AGR_L_1239
P01258	Calcitonin
P0AEJ3	Isochorismate mutase
Q3MB62	Putative Nitroreductase
P00125	Cytochrome c1
P00127	Mitochondrial hinge protein
P00126	Mitochondrial hinge protein
P00120	Cytochrome c553
P00122	Cytochrome c 551
Q9SGH6	Alpha dioxygenase 1
Q9VVU2	60S ribosomal protein L26
P87310	Mediator complex subunit 10
P00129	Complex III subunit VII
P00128	Complex III subunit VII
Q81UG1	Protein conserved hypothetical
P14653	protein Homeobox protein Hox B1
Q4JH30	Acidocalcisomal pyrophosphatase
Q903J0	protease
P08337	Mutator protein MutT
G1SHQ2	Uncharacterized protein
Q9Y3Q0	Glutamate carboxypeptidase III
Q8PWK2	Conserved protein
Q5SHP6	50S ribosomal protein L28
Q5SHP0	50S ribosomal protein L22
Q5SHP3	50S ribosomal protein L22
Q5SHP2	ribosomal protein S19
Q5SHP9	50S ribosomal protein L23
Q5SHP8	50S ribosomal protein L14
Q9KD90	BH1327 protein
A0A0H2US63	Putative serine protease
Q9BRS2	RIO kinase 1
P0A1J3	Distal rod protein
O52754	Laminarinase
Q58346	Phosphodiesterase MJ0936
A0A0H2ZXF2	Carnitinyl CoA dehydratase
Q70CQ3	Ubiquitin thioesterase 30
Q749D0	Cytochrome c551 peroxidase
Q99574	Peptidase inhibitor 12
Q6NUA1	Hsl7 Protein
Q81LL5	O acetylserine lyase
Q1EG59	Tryptase inhibitor
Q9FK81	expressed protein
Q51990	MORPHINONE REDUCTASE
P40818	Ubiquitin isopeptidase Y
Q9Y5G1	Protocadherin gamma B3
P81655	RK 1 DEFENSIN
Q7CR56#Q8ZRK4	null#null
P81658	L type calcium channel blocker
A0A140NCX4	MFS Transporter
Q86993	Coat protein
Q9Y8I4	Glutamate dehydrogenase
W5IS25	Aminotransferase
Q99WU4	Virulence factor EsxA
Q2M1K9	Zinc finger protein 423
O29329	Transaminase B
G0RYN2	Nuclease like protein
O29321	Uncharacterized protein AF_0941
Q75WT9	Ricin B related lectin
Q99ZW4	Protein SPy1043
P04893	Terminase small subunit
Q6FV31	Uncharacterized protein CgKR1
Q97P32	Tryptophan synthase beta chain
Q9X1I7	Peptidase M
P0AG59	30S ribosomal protein S14
P0AG58	50S ribosomal protein L6
Q93YQ1	Protein RAPTOR 1B
P0AG55	50S ribosomal protein L6
A7V1A8	Hypothetical protein
Q8U333	Uncharacterized protein
P0AG51	50S ribosomal protein L30
P0AG50	50S ribosomal protein L21
P0AG53	50S ribosomal protein L30
Q9X1I9	Protein translocase subunit SecY
Q14CM0	PDZ domain containing protein 10
Q5KVJ9	TOPRIM domain containing protein
A0A125YP67	Triosephosphate isomerase
P15291	beta 14 galactosyltransferase 1
Q66GR6	Protein WHIRLY 3
E9BS63	eL36
E9BS61	ribosomal protein uL18
P50440	Transamidinase
P0AB87	L fuculose phosphate aldolase
P00169	Cytochrome b5
P0AB85	FAD:protein FMN transferase
P0AB83	Endonuclease III
P39594	THIAMIN phosphate synthase
P0AB80	Transaminase B
P03580	Coat protein
P0AB89	Adenylosuccinase
Q1LX78	cAMP dependent chloride channel
O96771	Tryptophan tRNA ligase
O96774	Ribosomal protein L3
O15927	PYRIDOXAL KINASE
Q9AAR4	D mannonate dehydratase CC0532
P0A0E3	Histidine containing protein
P36888	FL cytokine receptor
Q0T964	Immunity protein CdiI
Q9AAR9	Hypothetical protein CC0527
A0A0M3KL72	DrBRCC36
G4VGI0	Uridine phosphorylase
P13448	Nitrile hydratase subunit alpha
P13449	Nitrile hydratase
P13444	S adenosylmethionine SYNTHETASE
P13445	RNA polymerase Sigma factor RpoS
Q9Y3U8	60S ribosomal protein L36
Q8ILL2	60S ribosomal protein eL8
Q8ILL3	60S ribosomal protein uL18
P29768	Sialidase
Q8T9N5	THIOREDOXINN
A4Y035	lipase
P11978	Regulatory protein SIR4
P11979	Pyruvate kinase muscle isozyme
X2G809	NS3 protein
P11970	Plastocyanin B chloroplastic
P0DP28#P60761	RC3
Q9JIK5	Nucleolar RNA helicase II
P11974	Pyruvate kinase
O80763	Probable nucleoredoxin 1
Q8EP31	O ACETYL ADP RIBOSE DEACETYLASE
Q04804	Sensor protein PfeS
J3IU59	Prophage Pfl 6 Cro
Q04809	Dipicolinate synthase subunit A
Q8IU57	Interferon lambda receptor 1
P13198	Protein p63
P13199	EB2 protein homolog
P69747	Vc1.1
P69740	NiFe hydrogenase
Q9LNF2	Pectinesterase inhibitor 1
A4TSJ5	Bifunctional protein GlmU
Q15004	PCNA associated factor
O00560	Syndecan binding protein 1
Q9I1P7	Hypothetical protein
Q15008	p42A
A0QP50	MSM0273
B2JEW3	Beta ketoacyl synthase
P18113	c erbA beta
Q8NHM5	F box LRR repeat protein 10
P45947	Arsenate reductase
O15155	BET1 homolog
Q9HY69	Mannuronan synthase
O15151	Double minute 4 protein
Q5SI93	thioredoxin
P32503	Gag protein
P32501	GCD complex subunit GCD6
P32507	Herpes virus entry mediator B
Q5SI95	hypothetical protein TTHA1479
P32505	Nab2p
B4SL31	Alkaline phosphatase
A0A0H4TXY1	Tetracycline destructase Tet55
A6LIX4	SusD superfamily protein
Q9I2Q1	type VI secretion exported 1
Q54KF1	Formin C
Q8TZJ8	50S ribosomal protein L10
Q4W6G0	Alcohol dehydrogenase azurin
P78423	CX3CL1 PROTEIN
Q92932	Phogrin
U3KRG1	zinc dependent metalloproteinase
Q92934	Bcl 2 like protein 8
Q9KBQ5	Melibiase
Q9KBQ3	Ribulokinase
Q93H81	Cytochrome P450
Q93H80	Cytochrome P450 hydroxylase
Q2KDJ1	Probable oxidoreductase protein
P62653	30S ribosomal protein S10
P62652	50S ribosomal protein L32
P15907	Sialyltransferase 1
Q6CLK3	KLLA0F02343p
P62657	30S ribosomal protein S15
Q880F6	uncharacterized protein
P62655	30S ribosomal protein S13
P62654	30S ribosomal protein S11
Q58P26	ORNITHINE DECARBOXYLASE
P62659	30S ribosomal protein S18
Q04114	PrgX
U6C5W9	Enone reductase CLA ER
Q2FXB0	Variant of LukE
P60244	acutolysin C
P60245	Psi conotoxin PIIIF
P0AA27#P10599	ATL derived factor
P60240	ATP dependent helicase HepA
T1SF45	KETOSYNTHASE
A2RLA2	50S ribosomal protein L27
P50032	C phycocyanin alpha chain
A2RLA4	50S ribosomal protein L21
Q8IYN6	protein FAM100B
O36019	Autophagy protein 13
P68036	Ubiquitin protein ligase L3
Q9ZBA9	D aminopeptidase
C0LMU0	Nonstructural protein NS5
O00822	60S ribosomal protein L28
Q15911	Zinc finger homeobox protein 3
Q15910	Lysine N methyltransferase 6
F8RL29	3Cl Protease
B4E5Y6	Thioredoxin Reductase
O43169	Cytochrome b5 type B
P79483	MHC class II antigen DRB3
B3EYN2	Extracellular arabinanase
B3EYN9	GH127 beta L arabinofuranoside
F4F7G1	YD repeat containing protein
A5ZDY0	BNR Asp box repeat protein
C3SSQ7	30S ribosomal protein S15 1
P9WN69	Phosphohexose isomerase
Q9H3Z4	Cysteine string protein
E2DQZ4	NP protein
Q9BSB4	Autophagy related protein 101
Q8CDI2	F box only protein 43
Q84406	Prolyl 4 hydroxylase
Q7RSH5	cyclophilin
O31097	Phytate 3 phosphatase
Q8DIP0	Photosystem II: subunit PsbE
Q97YD2	CRISPR ASSOCIATED PROTEIN
Q7SIE9	HYDANTOINASE
Q97YD5	CRISPR associated protein Csx1
Q7SIE4	Leucine tRNA ligase
Q2FWD8	50S ribosomal protein L31 type B
Q7SIE1	MALTOSE PHOSPHORYLASE
Q7SIE0	Delta 1 crystallin
Q7SIE3	Family 11 xylanase
Q7SIE2	Endo 14 beta xylanase
A0QQG1	XANTHINE DEHYDROGENASE
P0DP58	Testicular tissue protein Li 112
Q8ID43	Nucleoside diphosphate kinase
Q9HJA6	Flavokinase
Q8IWT1	Sodium channel subunit beta 4
Q7CL96	stringent starvation protein A
Q12046	Complexed with CEF1 protein 2
Q6R5N8	Toll like receptor 13
A0A0M4AUH6	Odorant binding protein NribOBP3
Q9LV40	Emb|CAB41934.1
F1RGC0	Ribosomal protein uL15
Q47898	Glycosylasparaginase beta chain
Q4AC22	Dynein heavy chain 9
F8UU09	Neuraminidase
Q28QX3	Thioesterase superfamily
P16255	SRP14
Q5NII8	Phosphoglucosamine mutase
Q13427	CASP10
Q13426	DNA repair protein XRCC4
Q13425	Syntrophin like
Q5NII7	Triosephosphate isomerase
Q13423	transhydrogenase DIII
P67974	Insulin
Q13421	Mesothelin
P67976	Beta lactoglobulin 1 B
P63261	Actin cytoplasmic 2
P22637	Cholesterol oxidase
Q9D4H1	Exocyst complex component Sec5
Q4U1A6	Glutaminase
A0A0S2E5N6	Odorant binding protein
P48735	ICD M
D0VX28	Complex III subunit 6
D0VX24	Probable RNA binding protein
D0VX21	beta hexosaminidase
P37023	Activin receptor like kinase 1
Q837U7	Putrescine transcarbamylase
Q2G160	N acetylneuraminic acid aldolase
Q5ZW80	Uncharacterized protein
Q9UQV4	Protein TSC403
P37028	Vitamin B12 binding protein
Q8IEN2	40S ribosomal protein eS27
O04492	F21M12.9 protein
P50162	Tropine dehydrogenase
P50163	PROTEIN Tropinone reductase II
A5K4Q6	ethanolamine kinase Pv091845
U5KNG4	HBB protein
P52888	Endopeptidase 24.15
Q9FFF5	PHD finger protein ALFIN LIKE 1
P62249	40S ribosomal protein S16
P16341	Leiurotoxin 1
P16348	Cathepsin D inhibitor PDI
P22868	Methane monooxygenase reductase
Q7M422	hemoglobin V
Q7M421	hemoglobin component VII
P22862	Arylesterase
D5STZ7	O methyltransferase family 2
P70673	BIR
P18418	HACBP
P31072	6 phosphogluconate dehydrogenase
Q99LC4	Ig gamma 1 CHAIN
P83235	Mating pheromone En 2
Q9UQ80	ErbB3 binding protein 1
P02984	immunity protein
Q03338	Pre mRNA splicing factor 3
Q03330	Histone acetyltransferase GCN5
Q8GKS5	NALP
Q03334	40S ribosomal protein S13
Q83AU6	Phosphoglycerate kinase
P0ABE7#P30556	AT1AR
B3FNT1	Major Pilin Protein
Q86XI6	Protein phosphatase 1 subunit GL
Q39890	Calmodulin
P58772	Tropomyosin
Q8A051	Rhamnogalacturonan lyase
P58779	NEUROTOXIN V 5
O41156	thymidylate synthase
Q9E957	VP3
Q87MW0	Aldehyde alcohol dehydrogenase
Q9E958	coat protein
Q4WAW9	Verruculogen synthase
Q64K55	Aciniform spidroin 1
O32728	sigma factor
O32723	Anti sigma F factor antagonist
O32727	Stage II sporulation protein AB
O32726	Anti sigma F factor antagonist
P49927	Major prion protein
P49928	Antibacterial peptide SMAP 29
Q6N8L4	Hypothetical protein RPA1889
Q61955	Kallikrein 8
P43925	Elongation factor G
P82162	protein S10
P35318	ADM
Q9Y8U3	hypothetical protein APE2540
Q5U8X5	Serine protease NS3
P27999	B12.6
P02756	Beta lactoglobulin
A0A0H3JH39	DNA gyrase subunit A
Q8Y690	FabG protein
P0C1U6	Transcriptional regulator SarA
P0C1U8	Glutamyl endopeptidase
Q12KP2	Putative phosphosugar isomerase
P08138	Gp80 LNGFR
P08136	Lantibiotic epidermin
P08134	Rho cDNA clone 9
P08133	p68
O32181	YusO protein
Q9KF54	GAR transformylase
P77754	Periplasmic chaperone Spy
Q8ECH9	Lipoprotein
Q96SD1	DNA cross link repair 1C protein
O22969	unknown protein
Q9H299	SH3 domain binding protein 1
Q922J3	Restin
P0A7Z4	RNA polymerase subunit alpha
P0A7Z6	Transcriptase subunit alpha
P0A7Z0	Ribose 5 phosphate isomerase A
A0A1S2XTK6	legumin like protein
Q8ZNP3	STM2138 Virulence Chaperone
Q927Y2	Lmo2511 protein
P15128	CYPIVB1
G5EEW7	Protein ASD 1 isoform a
P0DM37	Photosystem II protein Y
Q94M05	NTPASE P4
Q94M07	Core protein P7
Q94M06	RNA dependent RNA polymerase P2
Q64823	FIBER PROTEIN
Q64822	FIBER PROTEIN
Q842J9	Thermostable lipase
P09030	EXONUCLEASE III
P22002	Rat brain class C
P22001	HPCN3
J9XXB7	Capsid protein VP1
Q8EE20	putative Lipoprotein
P22004	VG 1 related protein
A2QS62	Multicopper oxidase
P26718	NKG2 D activating NK receptor
A7TR32	K. polysporus Dcr1
P82673	mS35
P82675	uS5m
P26715	NKG2 A B activating NK receptor
A0A0R5P8X1	Carbohydrate binding module E1
Q43725	O acetylserine thiol lyase
P0A415	Photosystem I subunit VII
P15923#P28574	Transcription factor ITF 1
A1YZD2	CHITINASE RELATED AGGLUTININ
P36037	Protein DOA1
P33006	Cytochrome P450 terp
P33007	PROTEIN Terpredoxin
O43447	Rotamase H
Q7CS13	Dihydroorotase
D0CDT4	Dihydrolipoyl dehydrogenase
P0AAI3	Cell division protease FtsH
P0AAI5	Beta ketoacyl ACP synthase II
P07378	3 Phosphoglycerate kinase
P04936	PROTEIN VP1
Q8ZME0	Putative glycerate kinase 2
P07371	LHCII type I CAB AB80
P04938	Major urinary protein 6
Q9XDH5	DNA polymerase III subunit alpha
Q58635	Proline tRNA synthetase
Q58634	Proteasome subunit beta
Q9GQW3	BmKalphaIT01
Q8Y775	Lmo1422 protein
K9M8L2	SiaM
Q980M5	TFIIE subunit alpha homolog
Q980M3	GTP binding protein HflX
Q5KY94	Type I DHQase
Q9USJ7	Nuclear import adaptor Nro1
Q9USJ8	CTD kinase subunit 3
Q96A08	Histone H2B type 1 A
P40381	swi6 protein
Q9RY51	Single strand binding protein
Q89YS5	N ACETYLGLUCOSAMINE 6 SULFATASE
P9WNS5	dUTP pyrophosphatase
P9WGE7	IRON Superoxide dismutase
P9WGE9	Superoxide dismutase [Cu Zn]
A3FBE6	Interleukin 2
Q9HIG7	hypothetical protein
Q9NUI1	24 dienoyl CoA reductase 2
P00720#Q8TCG2	Lysozyme
Q29599	p42 OAS
P38782	Mediator complex subunit 6
Q9KUV7	MSHA biogenesis protein MshE
Q9HZE5	PelB
Q9HZE4	PelA
Q9HZE7	PelD
Q9Z2B5	Pancreatic eIF2 alpha kinase
C4ZCC6	Putative exonuclease
Q3ZBG0	20S Proteasome
A0A0F7R1P3	6C8 heavy chain
Q56229	NADH dehydrogenase I chain 14
P23872	EcE
P23873	Antitoxin HipB
P23874	Toxin HipA
Q57DY1	Type I lumazine synthase
F4ITP6	uncharacterized protein AR3433A
P20425	Deoxycytidylate kinase
O74856	SPCC18.06c protein
P39787	DNA replication protein DnaD
O74859	Aprataxin like protein
Q09933	Phosphoprotein p93
Q9NRI5	DISC1 peptide
P08909	5 hydroxytryptamine receptor 1C
Q5SIA2	Na+ H+ antiporter
Q8R4E9	DNA replication factor Cdt1
P08905	14 beta N acetylmuramidase C
P08902	Lectin alpha chain
P08900	Css II
O30245	conserved hypothetical protein
Q96H15	T cell membrane protein 4
Q5G5U5	1FD6 V1V2 WITO
O19707	MHC class II HLA DQ beta 1
D0VWU4	Protein translocase subunit SecE
D0VWU5	FeoA
D0VWU6	COPROPORPHYRINOGEN III OXIDASE
D0VWU7	YqeH GTPase
D0VWU0	Uracil DNA glycosylase
P0DKR6	Mambalgin 1
D0VWU2	Putative Phosphate
D0VWU3	Diphenol oxidase
D0VWU8	Outer Surface Protein A
D0VWU9	DNA polymerase
A0PNS1	Cysteine synthase
P38251	Activator 1 40 kDa subunit
D2K8B4	Lytic endopeptidase preproenzyme
F0TRT1	Polymerase PA
Q74D82	Peptidase M48 family
P39126	Isocitrate dehydrogenase [NADP]
O53782	Uncharacterized protein
Q82ZV0	conserved domain protein
Q54944	zeta Toxin
A0A0H2UNJ8	Conserved domain protein
P31334	uL3m
A8AB33	Hypothetical multiheme protein
O54785	LIM domain kinase 2
O25821	Uncharacterized protein hp1203
O54786	Inhibitor of CAD
O25828	HOBA
Q8LTJ5	RNA polymerase inhibitor p7
Q9ES54	NPL4
O54788	Caspase activated DNASE
Q8D0U0	Bifunctional protein FolC
Q9CZL5	DcoH like protein DCoHm
Q0S4E1	Hypothetical protein
Q8U208	ssDNA binding protein
Q9BVC4	G protein beta subunit like
Q2S9K4	Dihydrodipicolinate synthase
Q83LS2	Hypothetical protein S0862
M1V0B0	Circumsporozoite protein
Q5SLE6	O acetylserine Thiol lyase
Q7T2Q1	Snaclec EMS16 subunit alpha
Q7T2Q0	EMS16 B chain
Q5SLE0	Putative phosphoglucomutase
P0DMH7	Halorhodopsin
P04115	Fibrin gamma chain
P04117	P2 adipocyte protein
A0A0H3JTE8	Putative oxidoreductase
C8VX32	uncharacterized protein
Q91XZ0	MCG133388 isoform CRA_t
P53044	Polymerase interacting protein 3
Q91XZ2	Pcdhb8 protein
P53042	Protein phosphatase T
P04119	Beta lactoglobulin IA IC
P53041	Protein phosphatase T
Q84FL5	AdmH
O54438	Beta ketoacyl ACP reductase
P56064	DNA primase
O08838	Amphiphysin
O08839	Bridging integrator 1
P56069	O succinylhomoserine thiol lyase
Q583K7	RIBOSOMAL PROTEIN S19 PUTATIVE
P81613	Mytilin B
Q8A7P4	uncharacterized protein BT_1490
Q92665	mS31
Q2LUI2	putative thioesterase
Q96LR5	UbcH8
Q6LYF9	Replication protein A
O57203	Thymidine kinase
Q381M1	RNA uridylyltransferase 4
Q53UB7	Pv cell traversal protein
Q05080	Cytokinesis protein 2
Q05086	Ubiquitin protein ligase E3A
Q8Y8D7	ATP dependent NAD kinase
Q05085	Nitrate transporter 1.1
P45545	Uncharacterized protein YhfS
Q9KTV9	amide synthase
A6ZWK1	SAGA associated factor 11
B8CZ54	Alpha amylase catalytic region
B8CZ51	Glycosyl transferase group 1
B8CZ52	Fructokinase
P0A386	Low potential cytochrome c
P0A387	Low potential cytochrome c
P0A384	Cytochrome b6
P0A382	27 kDa cytolytic toxin
A0A0B4KIF6	NicR
Q8WYQ5	protein DGCR8
A7KJJ7	Neurotoxin BmK86
P11347	Dinitrogenase
Q86RB2	Alpha conotoxin GIC
P11345	Proto oncogene c RAF
P03466	Nucleoprotein
P11342	Beta globin
P97291	Cadherin 8
P03462	Hemagglutinin
Q9PFC9	Virulence regulator
P11349	Nitrate reductase A subunit beta
P11348	HDHPR
Q72JR0	50S ribosomal protein L31
P19113	Histidine decarboxylase
P14191	K88 pilin
P14190	K88 pilin
Q8PJY1	hypothetical protein XAC2396
Q5ZT35	Geranyltranstransferase
Q15661	Tryptase I
Q8DP63	Peptidoglycan N deacetylase
Q8VSC3	ipaH9.8
Q81SJ3	CONSERVED DOMAIN PROTEIN
P39641	Alanine anticapsin ligase
Q99436	Proteasome subunit Z
Q9KSX0	ImGP synthase subunit HisH
Q9KSX6	VicH protein
Q17282	Blo 1 12
Q9PWF3	Myotoxin
P54061	50S ribosomal protein L30e
Q04I02	Adc operon repressor AdcR
P14448	Fibrinogen
P54066	50S ribosomal protein L7Ae
O90417	NS3
Q51815	ESTERASE D
Q51817	PrtK48
B2ZRE3	ALCOHOL DEHYDROGENASE
O23736	Gamma ECS
Q10256	UBA domain protein mud1
Q96GA7	Serine dehydratase like
Q15596	SRC 2
Q15599	SRY interacting protein 1
P17181	Interferon alpha beta receptor 1
Q13509	Tubulin beta III
H7C677	PROBABLE TRANSCRIPTION REGULATOR
Q13506	NGFI A binding protein 1
Q13501	Ubiquitin binding protein p62
P06396#P62328#Q5NBX1	P06396:
Q02020	Fibrinogen beta chain
Q5ZYK8	Uncharacterized protein Lpg0364
B2HD64	Enoyl CoA hydratase EchA8_6
Q63V82	Phosphate binding protein PstS
A0A0B8R2U7	Thiamine transporter thia
P26256	Annexin XII
Q8EID8	NQR complex subunit C
Q9RH91	F17f G fimbrial adhesin
Q7Z3B4	Nucleoporin p54
P34209	Protein YdcF
Q9RH92	F17e G fimbrial adhesin
Q7Z3B3	MLL1 MLL complex subunit KANSL1
Q7L576	p140sra 1
Q81TD1	Putative Oligoendopeptidase F
A0Q7H2	IGLE
P48632	Ferripyoverdine receptor
P48635	Erythromycin C 12 hydroxylase
P48637	Glutathione synthetase
E7E837	ATP synthase subunit a
E7E832	ATP synthase subunit c
Q4MYJ2	UNCHARACTERIZED PROTEIN
P19801	Histaminase
H9TUK5	HISTIDINE ACID PHOSPHATASE
P19803	Rho GDP dissociation inhibitor 1
O28869	Uncharacterized protein AF_1403
P19808	Dihydrodipicolinate synthetase
P19809	Intimin
Q99741#Q9Y5P8	Cdc18 related protein
P15311	Ezrin
Q716G8	Gene 7 protein
P15314	Interferon regulatory factor 1
P15319	Chaperone protein PapD
Q716G6	Gene 9 protein
Q03643	Merozoite surface antigen 2
U3N7S5	Hemagglutinin HA1 chain
A0A077EEP0	Acetyl CoA acetyltransferase
Q8DY32	Hypothetical protein SAG1661
P13255	Glycine N methyltransferase
P13254	L methioninase
A3FQN0	Putative uncharacterized protein
Q9BS40	Protein MUM
Q9SQZ9	hypothetical protein At3g04780.1
Q08215	Peroxin 15
P29353	SHC transforming protein 3
P29352	PEST domain phosphatase
P29350	SH PTP1
P0AA27	Thioredoxin 1
P29355	SEM 5
P0AA25	Thioredoxin 1
T2G899	Adenylylsulfate reductase
P0AEX9#P25554	MMBP
Q6GH13	Dihydrodipicolinate synthase
R4IT35	Telomerase reverse transcriptase
O75832	p28GANK
C5MK56	MHC class I antigen
P16753	HUMAN CYTOMEGALOVIRUS Protease
F9UNZ6	Uncharacterized protein lp_1622
P16757	Protein UL16
P35150	Penicillin binding protein 5*
R9RX08	Antivirulence protein AVR Pia
P03579	Coat protein
A6TB72	Uncharacterized protein yedD
Q9I4Q3	uncharacterized protein PA1076
Q9I4Q4	Uncharacterized protein
P0A2D5	Chemotaxis protein CheY
Q96554	Carbonate dehydratase
A0A059Q5E8	beta lactamase Rm3
Q4W8M3	endo beta 14 Mannanase
O08315	GTP cyclohydrolase 2
Q6P1K2	Polyamine modulated factor 1
Q4Z9Y5	ORF067
Q816Y4	Sex pheromone staph cAM373
Q9ZST4	Protein PII like
P27601	G alpha i 13
P20656	rRNA N glycosidase
Q45612	YycI protein
P08245	Uncharacterized protein YciH
A0A0F8NYV9#P38861	P38861:
O05581	Acetyltransferase Pat
A4XEL3	Ribose galactose isomerase
Q01641	Outer capsid protein VP4
Q40069	BARLEY GRAIN Peroxidase
Q05946	Utp13
Q5NGP6	Ribulose phosphate 3 epimerase
P20384	Recombinase Sin
Q6PJB2	Ig gamma heavy chain
P0A1J1	Flagellar hook protein FlgE
P0A1J7	Flagella synthesis protein FlgN
Q9HWK2	Probable porin
P17405	Sphingomyelin phosphodiesterase
P95458	Uroporphyrinogen decarboxylase
Q39419	Polcalcin Bet v 4
P06742	Myosin light chain alkali
Q5V5P7	Sensor protein
O87496	CHAPERONE SYCD
P68206	UPF0337 protein YjbJ
A9JQL9	Dehydrosqualene synthase
P32318	Thiamine Thiazole synthase
Q9FX77	At1g16640
P62753	Phosphoprotein NP33
P62750	60S ribosomal protein L23a
Q8ZIK3	LPS assembly protein LptD
Q2P9J6	enoyl ACP reductase
Q7P1G6	Putative polyketide cyclase
P26554	Protein E6
Q9LAK3	alpha 23 28 sialyltransferase
Q9KDP2	Membrane integrase YidC 2
Q6DFM0	ISWI protein
A0A0H2UNQ9	PUTATIVE SORTASE
C9K5V2	Adhesin protein
Q8U4M1	NOP5 NOP56 related protein
Q3JP68	KDO 8 phosphate synthase
Q14145	Cytosolic inhibitor of Nrf2
Q30597	MHC class I Mamu A*02
Q14141	Septin 6
Q14149	Nuclear matrix protein 2
Q8ZUP0	Alcohol dehydrogenase Zinc
E5QVT2	Riboflavin uptake protein
A8BY54	Leucyl tRNA synthetase
A0Q7H7	TSSL
P49347	Concanavalin B
P49344	Ectatomin
P49343	Ectatomin subunit A
U3EPL2	Three finger toxin 3b
O86171	C2 TOXIN COMPONENT II
B5R540	Putative hexonate dehydrogenase
B5R541	Putative dehydratase
Q95HB9	HLA DPA*0201 peptide
C4M4W4	Rho like small GTPase
Q3MID3	GTPase activating protein ZNF289
O15409	CAG repeat protein 44
Q8QW30	SERINE PROTEASE
Q9KT38	GGDEF family protein
Q9NZC9	HepA related protein
Q88FY2	Nicotinate degradation protein C
Q99523	Neurotensin receptor 3
Q3JV82	Isocitrate dehydrogenase [NADP]
Q82S11	Hypothetical protein
P14719	Protein T1
E9NSK2	Carbohydrate active enzyme
Q02280	Ether a go go protein
A3DHG6	Fn3 like protein
Q8IXM3	mL41
Q9K9P3	BH2602 protein
Q7W485	Hypothetical protein
E9G5J5	Cellobiohydrolase CHBI
Q5SJJ5	hypothetical protein TTHA1013
